Movie_ID,Title,Release Date,Poster URL,Description,Genres,Director,Crew,Trailer
21,Batman Ninja vs. Yakuza League,2025-03-17,https://image.tmdb.org/t/p/w500/sVVT6GYFErVv0Lcc9NvqCu0iOxO.jpg,"The Batman family has returned to the present to discover that Japan has disappeared, and a giant island - Hinomoto - is now in the sky over Gotham City.  At the top sit the Yakuza, a group of superpowered individuals who reign without honor or humanity and look suspiciously like the Justice League. Now, it’s up to Batman and his allies to save Gotham!","Animation, Action",Jumpei Mizusaki,"Jumpei Mizusaki, Shinji Takagi, Kazuki Nakashima, Takashi Okazaki, Bob Kane",https://www.youtube.com/watch?v=QleeDtH_WWE
22,Batman v Superman: Dawn of Justice,2016-03-23,https://image.tmdb.org/t/p/w500/5UsK3grJvtQrtzEgqNlDljJW96w.jpg,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","Action, Adventure, Fantasy",Zack Snyder,"Jim Rowe, William Moulton Marston, Gregor Wilson, Jim Rowe, Misha Bukowski",https://www.youtube.com/watch?v=s9EkdAHqtvU
23,Mon ami Batman Tremblay,2025-02-25,https://image.tmdb.org/t/p/w500/oTsDdOE6barmJ82ksc3xVvaU7sh.jpg,,Documentary,David Dufresne-Denis,"David Dufresne-Denis, David Dufresne-Denis, David Dufresne-Denis, David Dufresne-Denis, James Forest",No trailer
24,Aztec Batman: Clash of Empires,,https://image.tmdb.org/t/p/w500/o6DiaNL85FTDLua2EmFWnjDzq0d.jpg,"In the time of the Aztec Empire, Yohualli Coatl – a young Aztec boy  – experiences tragedy when his father and village leader, Toltecatzin, is murdered by Spanish Conquistadors. Yohualli escapes to Tenochtitlan to warn King Moctezuma and his high priest, Yoka, of imminent danger. Using the temple of Tzinacan, the bat god, as a lair, Yohualli trains with his mentor and assistant, Acatzin, developing equipment and weaponry to confront the Spaniard invasion, protect Moctezuma’s temple, and avenge his father’s death.","Animation, Action, Adventure",Juan Jose Meza-Leon,"Marvick Núñez, Diego Andrés Olascoaga Alba, Juan Jose Meza-Leon, Jose C. Garcia de Letona, Aaron Berger",No trailer
25,The Batman,2022-03-01,https://image.tmdb.org/t/p/w500/74xTEgt7R36Fpooo50r9T25onhq.jpg,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.","Crime, Mystery, Thriller",Matt Reeves,"Robert Alonzo, Bradley Parker, Ben Dixon, Nikita Rae, Diego Perez",https://www.youtube.com/watch?v=vc7_mH2PWHs
26,LEGO DC Batman: Family Matters,2019-07-21,https://image.tmdb.org/t/p/w500/rA5bdwbzEAKfvjHRzza6Q3r0otq.jpg,"Suspicion is on high after Batman, Batgirl, Robin and other DC superheroes receive mysterious invitations. However, family values must remain strong when Batman and his team encounter the villainous Red Hood, who is obsessed with destroying the Bat-family and all of Gotham City.","Animation, Family, Action, Comedy",Matt Peters,"D.J. Lynch, Cris Mertens, Matt Peters, Rick Morales, Tim Kelly",https://www.youtube.com/watch?v=wAKvvUv_wck
27,Batman & Robin,1997-06-20,https://image.tmdb.org/t/p/w500/cGRDufDDSrFrv7VI4YnmWnslne0.jpg,Batman and Robin deal with relationship issues while preventing Mr. Freeze and Poison Ivy from attacking Gotham City.,"Action, Science Fiction, Adventure",Joel Schumacher,"Barbara Ling, Stephen Goldblatt, Elliot Goldenthal, Benjamin Melniker, Ve Neill",https://www.youtube.com/watch?v=Zc7sjDHW2KY
28,Alias Batman and Robin,1991-04-06,https://image.tmdb.org/t/p/w500/m7ysdICz4AMvFTU8wYKz3i69n6P.jpg,"Alyas Batman en Robin is a 1991 Filipino Batman comedy film produced by Regal Films spoofing the 1960s Batman television series. The movie was initially an unauthorized production, set to capitalize on the then in-production 1989 Batman film starring Michael Keaton. Warner Brothers threatened legal action and the release of the film was delayed until legal entanglements could be sorted out. The film was released in 1991, two years later than the intended 1989 release.","Comedy, Action",Tony Y. Reyes,"Tony Y. Reyes, Joey de Leon, Joey de Leon, Oscar Querijero, Tony Y. Reyes",No trailer
29,Batman Ninja,2018-06-15,https://image.tmdb.org/t/p/w500/5xSB0Npkc9Fd9kahKBsq9P4Cdzp.jpg,"Batman, along with many of his allies and adversaries, finds himself transported to feudal Japan by Gorilla Grodd's time displacement machine.","Animation, Action, Science Fiction",Jumpei Mizusaki,"Satoshi Sawada, Kozi Hashiguchi, Takashi Okazaki, Shuhei Morita, Junichi Yamamoto",https://www.youtube.com/watch?v=08dHXfIprYE
30,Batman Begins,2005-06-10,https://image.tmdb.org/t/p/w500/4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.","Action, Crime, Drama",Christopher Nolan,"Emma Thomas, Lucinda Syson, Hans Zimmer, John Papsidera, Wally Pfister",https://www.youtube.com/watch?v=lirBhHXvDSg
31,Batman & Bill,2017-05-06,https://image.tmdb.org/t/p/w500/gc1oyq0K8TdtFTXmYV03v536HsI.jpg,"Everyone thinks that Bob Kane created Batman, but that’s not the whole truth. One author makes it his crusade to make it known that Bill Finger, a struggling writer, actually helped invent the iconic superhero, from concept to costume to the very character we all know and love. Bruce Wayne may be Batman’s secret identity, but his creator was always a true mystery.",Documentary,Don Argott,"Don Argott, Don Argott, Sheena M. Joyce, Don Argott, Sheena M. Joyce",https://www.youtube.com/watch?v=YcBDjjY2swE
32,Batman and the Oscar Night Interrogation,2025-03-10,https://image.tmdb.org/t/p/w500/jEvxsVmEOiRM7fDOfK0VDGs9p2F.jpg,Batman and Commissioner Gordan interrogate The Joker for his craziest crime yet.... peeing on a bus! Little did Batman and Gordan know that simple accusation would unveil a dastardly conspiracy that they could have never seen coming.,"Comedy, Crime",Harry Veal,"Harry Veal, Declan Clarke, Harry Veal, Harry Veal, Bodie Funnell",No trailer
33,Batman Returns,1992-06-19,https://image.tmdb.org/t/p/w500/uEIvgvxzK08922iU61OvO3ORs0s.jpg,"Batman must face The Penguin, a sewer-dwelling gangleader intent on being accepted into Gotham society.  Meanwhile, another Gotham resident finds herself transformed into Catwoman and is out for revenge...","Action, Fantasy",Tim Burton,"Tim Burton, Tim Burton, Denise Di Novi, Danny Elfman, Stefan Czapsky",https://www.youtube.com/watch?v=ZCaE6AIk0DM
